,,,,,,,,
RESUMEN DE CAMBIOS,CIUDAD,ACTUAL,,,,,,
,La Libertad,Trujillo,Florencia de Mora,48h,15.5 - 20.5,-,-,15.5 - 18.6
,La Libertad,Trujillo,Huanchaco,48h,20.5,-,-,18.5
,La Libertad,Trujillo,La Esperanza,48h,15.5,-,-,
,La Libertad,Trujillo,Laredo,48h,20.5,-,-,18.5
,La Libertad,Trujillo,Moche,48h,15.5 - 20.5,-,-,
,La Libertad,Trujillo,Salaverry,48h,20.5,-,-,18.5
,La Libertad,Trujillo,Victor Larco Herrera,48h,15.5,-,-,
A012 - CHICLAYO,Lambayeque,Chiclayo,Chiclayo,48h,17.5,-,-,
,Lambayeque,Chiclayo,Jose Leonardo Ortiz,48h,17.5,-,-,
,Lambayeque,Chiclayo,La Victoria,48h,17.5,-,-,
,Lambayeque,Chiclayo,Monsefu,48h,22.5,-,-,
,Lambayeque,Chiclayo,Pimentel,48h,22.5,-,-,
,Lambayeque,Chiclayo,Pomalca,48h,22.5,-,-,
,Lambayeque,Chiclayo,Reque,48h,22.5,-,-,
,Lambayeque,Chiclayo,Santa Rosa,48h,27.5,-,-,
,Lambayeque,Chiclayo,Tumán,48h,27.5,-,-,
,Lambayeque,Lambayeque,Caleta San Jose,48h,27.5,-,-,
,Lambayeque,Lambayeque,Lambayeque,48h,22.5,-,-,
,Lambayeque,Lambayeque,San Jose - Ciudad de Dios,48h,22.5,-,-,
A013 - LIMA,Lima,Callao,Callao,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Callao,Bellavista,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Callao,Carmen de la Legua Reynoso,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Callao,La Perla,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Callao,La Punta,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Callao,Ventanilla,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Cercado de Lima,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Ancon,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Ate,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Barranco,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Carabayllo,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Breña,24h (dia anterior hasta las 11:59pm),13.5,-,-,12.5
,Lima,Lima,Jesus Maria,24h (dia anterior hasta las 11:59pm),13.5,-,-,12.5
,Lima,Lima,Lince,24h (dia anterior hasta las 11:59pm),13.5,-,-,12.5
,Lima,Lima,Pueblo Libre,24h (dia anterior hasta las 11:59pm),13.5,-,-,12.5
,Lima,Lima,San Isidro,24h (dia anterior hasta las 11:59pm),13.5,-,-,12.5
,Lima,Lima,Chaclacayo,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Chorrillos,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Cieneguilla,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Comas,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,El Agustino,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Independencia,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,La Molina,24h (dia anterior hasta las 11:59pm),13.5 - 16.5,-,-,
,Lima,Lima,La Victoria,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Los Olivos,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Lurigancho - Chosica,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Lurin,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Magdalena del Mar,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Miraflores,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Pachacamac,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Puente Piedra,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Rimac,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Punta Hermosa,24h (dia anterior hasta las 11:59pm),,,,
,Lima,Lima,Punta Negra,24h (dia anterior hasta las 11:59pm),,,,
,Lima,Lima,San Borja,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,San Juan de Lurigancho,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,San Juan de Miraflores,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,San Luis,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,San Martin de Porres,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,San Miguel,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Santa Anita,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Santa Maria del Mar,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Santa Rosa,24h (dia anterior hasta las 11:59pm),16.5,-,-,
,Lima,Lima,Santiago de Surco,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Surquillo,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Villa El Salvador,24h (dia anterior hasta las 11:59pm),13.5,-,-,
,Lima,Lima,Villa Maria del Triunfo,24h (dia anterior hasta las 11:59pm),13.5,-,-,
A014 - IQUITOS,Loreto,Maynas,Iquitos,48h,22 - 27,-,-,22 - 25
A015 - TAMBOPATA,Madre de Dios,Tambopata,Tambopata,72h,17.5,24h,15.5,
A017 - MOQUEGUA,Moquegua,Ilo,El Algarrobal,72h,17.5,24h,15.5,
,Moquegua,Ilo,Ilo,72h,17.5,24h,15.5,
,Moquegua,Ilo,Pacocha,72h,22.5,24h,20.5,20.5
A016 - ILO,Moquegua,Mariscal Nieto,Samegua,48h,17.5,24h,15.5,
,Moquegua,Mariscal Nieto,Moquegua,48h,17.5,24h,15.5,
A018 - PIURA,Piura,Piura,Piura,48h,17.5,,-,
,Piura,Piura,Castilla,48h,17.5 - 22.5,,-,17.5 - 20.5
,Piura,Piura,Catacaos,48h,17.5 - 22.5,,-,17.5 - 20.5
,Piura,Piura,26 de octubre,48h,17.5 - 22.5,,-,17.5 - 20.5
A028 - PAITA,Piura,Paita,Paita,72h,17.5,,-,
A020 - SULLANA,Piura,Sullana,Sullana,72h,17.5 - 22.5,,-,17.5 - 20.5
A019 - TALARA,Piura,Talara,Pariñas,72h,17.5,,-,
A021 - PUNO,Puno,Puno,Puno,48h,17.5,24h,15.5,
A022 - JULIACA,Puno,San Roman,Juliaca,48h,17.5 - 22.5,24h,15.5,17.5 - 20.5
,Puno,San Roman,Caracoto,48h,22.5,24h,20.5,20.5
A023 - TARAPOTO,San Martin,Lamas,Lamas,72h,24.5,,-,
,San Martin,Lamas,Rumisapa,72h,24.5,,-,
,San Martin,San Martin,Tarapoto,72h,17.5,,-,
,San Martin,San Martin,Cacatachi,72h,24.5,,-,
4024 - TACNA,Tacna,Tacna,Tacna,48h,17.5,24h,15.5,
,Tacna,Tacna,Alto de la Alianza,48h,17.5,24h,15.5,
,Tacna,Tacna,Calana,48h,22.5,24h,20.5,20.5
,Tacna,Tacna,Ciudad Nueva,48h,17.5,24h,15.5,
,Tacna,Tacna,Pachia,48h,22.5,24h,20.5,20.5
,Tacna,Tacna,Pocollay,48h,17.5,24h,15.5,
,Tacna,Tacna,Cor Gregorio Albarracín,48h,17.5,24h,15.5,
A025 - PUCALLPA,Ucayali,Coronel Portillo,Pucallpa,48h,22,,-,
,Ucayali,Coronel Portillo,Yarinacocha,48h,22 - 27,,-,22 - 25
